fear [fɪə]; baimė, bijojimas
regular ['regjulə]; reguliarus, nuolatinis
relation [rɪ'leɪ∫n]; santykis, ryšys
relative ['relətɪv]; giminaitis, susijęs, santykinis
religion [rɪ'lɪdʒən]; religija
remark [rɪ'ma:k]; pastaba, pastebėjimas
report [rɪ'pɔ:t]; ataskaita, pranešimas
representative [,reprɪ'zentətɪv]; atstovas, įgaliotinis, atstovaujantis
respect [rɪ'spekt]; pagarba
responsible [rɪ'spɔnsəbl]; atsakingas, atskaitingas
rest [rest]; ramybė, poilsis
result [rɪ'zʌlt]; rezultatas, padarinys, pasekmė
ride [raɪd]; pa(si)jodinėjimas, pa(si)važinėjimas
rise [raɪz]; (pa)kilimas, iškilimas, (pa)kėlimas
road [rəud]; kelias, gatvė
rock [rɔk]; uola, akmuo
roll [rəul]; ritinys, ritinėlis, rulonas
room [ru:m, rum]; kambarys, patalpa, erdvė
round [raund]; apskritas, apvalus/ raundas
rule [ru:l]; taisyklė, (elgesio) norma, valdymas
sale [seɪl]; (iš)pardavimas, aukcionas
sample ['sa:mpl]; pavyzdys, mėginys
Saturday ['sætədɪ]; šeštadienis
scene [si:n]; vieta (įvykio), scena, reginys
science ['saɪəns]; mokslas, mokslo šaka
season ['si:zn]; metų laikas, sezonas
second ['sekənd]; antras(is), sekundė
secret ['si:krɪt]; paslaptis, slaptas
secretary ['sekrətrɪ]; sekretorius, ministras
separate ['sepərət]; atskiras, paskiras
serious ['sɪərɪəs]; rimtas, sunkus
several ['sevrəl]; keli, keletas
shake [ʃeɪk]; (su)purtymas, (pa)kratymas, (rankos) paspaudimas
shape [∫eip]; forma, pavidalas
sharp [ʃa:p]; aštrus, smailus, status
shelter ['∫eltə]; pastogė, prieglauda, prieglobstis
shoot [ʃu:t]; medžioklė, šaudymas, filmavimas
shop [ʃɔp]; parduotuvė
short [ʃɔ:t]; trumpas, žemas, nepakankamas
shoulder ['ʃəuldə]; petys, mentė
show [ʃəu]; paroda, šou
sight [saɪt]; regėjimas, matomumas, reginys
sign [saɪn]; ženklas, simbolis
signal ['sɪgnl]; signalas, ženklas
simple ['sɪmpl]; paprastas, nesudėtingas
since [sins]; nuo to laiko, nuo tada/ kadangi
single ['sɪŋgl]; vienas, vienintelis, vienišas
situation [,sit∫u'eɪ∫n]; padėtis, situacija, iš(si)dėstymas
size [saɪz]; dydis, tūris, apimtis
system ['sɪstəm]; sistema
skill [skɪl]; meistriškumas, sugebėjimas, įgūdis
slight [slaɪt]; nežymus, menkas, lengvas
slow [sləu]; lėtas
smile [smaɪl]; šypsena
social ['səuʃl]; visuomeninis, socialinis, bendraujantis
society [sə'saɪətɪ]; visuomenė, bendruomenė
soft [sɔft]; minkštas, švelnus
soldier ['səuldʒə]; kareivis, eilinis
solid ['sɔlɪd]; kietas, tvirtas, vientisas
someone ['sʌmwʌn]; kažkas, kas nors
son [sʌn]; sūnus
sort [sɔ:t]; rūšis, klasė, tipas
sour ['sauə]; rūgštus, prarūgęs
south [sauθ]; pietūs, pietų kryptis, pietinis
space [speɪs]; erdvė, plotas, kosmosas
special ['spe∫l]; specialus, ypatingas
speed [spi:d]; greitis, tempas
spirit ['spɪrɪt]; dvasia, siela
spoon [spu:n]; šaukštas
spot [spɔt]; vieta, dėmė, taškelis
spread [spred]; (pa)plitimas, (pa)sklidimas, užtepas
spring [sprɪŋ]; pavasaris
square [skwɜə]; kvadratas, kvadratinis/ skveras
staff [sta:f]; personalas, etatai
stay [steɪ]; buvimas, viešnagė
standard ['stændəd]; lygis, norma, standartas
station ['steɪ∫n]; stotis, punktas
step [step]; žingsnis, pakopa
stick [stɪk]; lazda, lazdelė
stock [stɔk]; atsarga, ištekliai, kiekis
stop [stɔp]; sustojimas, (su)stabdymas, stotelė
store [stɔ:]; atsargos, sandėlis, parduotuvė
straight [streɪt]; tiesus, nesulinkęs, neišlenktas
strange [streɪndʒ]; keistas, nepažįstamas, neįprastas
street [stri:t]; gatvė
strength [streŋθ]; jėga, tvirtumas, stiprumas
strike [straɪk]; streikas, smūgis
strong [strɔŋ]; stiprus, tvirtas
student ['stju:dənt]; studentas, moksleivis
subject ['sʌbdʒɪkt]; tema, dalykas, klausimas
success [sək'ses]; pasisekimas, sėkmė
sudden ['sʌdn]; staigus, netikėtas, nelauktas
suit [sju:t]; kostiumas
summer ['sʌmə]; vasara
Sunday ['sʌndɪ]; sekmadienis
supply [sə'plaɪ]; aprūpinimas, tiekimas, pasiūla
support [sə'pɔ:t]; palaikymas, (pa)rėmimas, parama
sure [∫uə]; žinoma, be abejo, tikrai
surface ['sə:fɪs]; paviršius, išorė, paviršinis
surprise [sə'praɪz]; nustebimas, nuostaba, staigmena
table ['teɪbl]; stalas
tax [tæks]; mokestis (džn. dgs)
telephone ['telɪfəun]; telefonas, telefoninis
temperature ['temprətʃə]; temperatūra
term [tə:m]; terminas (įv. reikšm.), trukmė, semestras
test [test]; testas, (iš)bandymas, (iš)mėginimas
therefore ['ðɜəfɔ]; dėl to, todėl, taigi
thick [θɪk]; storas, drūtas, tankus
thin [θɪn]; plonas, laibas, išretėjęs
though [ðəu]; nors (ir), kad ir
Thursday ['θə:zdɪ]; ketvirtadienis
tidy ['taɪdɪ]; tvarkingas, švarus
title ['taɪtl]; pavadinimas, antraštė
type [taɪp]; tipas, rūšis
to accept [ək'sept]; priimti, sutikti
to act [ækt]; veikti, elgtis
to advance [əd'va:ns]; daryti pažangą, progresuoti
to agree [ə'gri:]; sutikti, su(si)tarti, pritarti
to allow [ə'lau]; leisti (ką nors daryti)
to answer ['a:nsə]; atsakyti, atsiliepti
to appear [ə'pɪə]; pasirodyti, rodytis
to apply [ə'plaɪ]; kreiptis, prašyti (for – dėl, ko, to – į)
to approve [ə'pru:v]; pritarti
to argue ['a:gju:]; ginčytis, įrodinėti
to arrange [ə'reɪndʒ]; (su)rengti, (su)organizuoti, (su)tvarkyti
to arrive [ə'raɪv]; atvykti
to attack [ə'tæk]; (už)pulti, atakuoti
to attempt [ə'tempt]; stengtis, (pa)mėginti, (pa)bandyti
to attend [ə'tend]; lankyti (mokyklą ir pan.), dalyvauti (paskaitose ir pan.)
to avoid [a'vɔɪd]; (iš)vengti, išsisukinėti
to become [bɪ'kʌm]; tapti, pasidaryti, (pa)virsti
to believe [bɪ'li:v]; tikėti
to break [breɪk]; laužti, (su)laužyti, (su)lūžti
to bring [brɪŋ]; atnešti, atvežti, atvesti
to build [bɪld]; statyti
to buy [baɪ]; (nu)pirkti
to burn [bə:n]; (su)deg(in)ti, išdeg(in)ti
to care [kɜə]; rūpintis, domėtis (for)
to catch [kætʃ]; sugauti, pagauti, gaudyti
to check [tʃek]; (pa)tikrinti, kontroliuoti
to choose [t∫u:z]; (iš)rinkti, pa(si)rinkti
to claim [kleɪm]; tvirtinti, pareikšti, reikalauti
to clean [kli:n]; valyti, švarinti(s), tvarkyti(s)
to clear [klɪə]; valyti(s), tvarkyti(s)
to clothe [kləuð]; ap(si)rengti
to combine [kəm'baɪn]; jungti(s), kombinuoti
to comfort ['kʌmfət]; (pa)guosti, (nu)raminti
to command [kə'ma:nd]; įsakyti, įsakinėti
to compare [kəm'pɜə]; (pa)lyginti, (su)gretinti
to complete [kəm'plɪ:t]; (už)baigti
to consider [kən'sɪdə]; manyti, laikyti, svarstyti
to contain [kən'teɪn]; turėti (savyje),tilpti
to control [kən'trəul]; kontroliuoti, tikrinti, reguliuoti
to cost [kɔst]; kainuoti, atsieiti
to count [kaunt]; (su)skaičiuoti
to court [kɔ:t]; merginti(s), asistuoti, pirštis
to cover ['kʌvə]; (už)dengti, apkloti, užtiesti
to cross [krɔs]; kirsti, pereiti
to dance [da:ns]; šokti
to decide [dɪ'saɪd]; nuspręsti, nutarti
to demand [dɪ'ma:nd]; (pa)reikalauti (of, from – iš)
to depend [dɪ'pend]; pasitikėti, pasikliauti, būti priklausomam (nuo – on, upon)
to describe [dɪ'skraɪb]; apibūdinti, aprašyti, pavaizduoti
to desire [dɪ'zaɪə]; trokšti, labai norėti
to destroy [dɪ'strɔɪ]; (su)naikinti, (su)griauti
to determine [dɪ'tə:mɪn]; (nu)lemti, nustatyti, nuspręsti
to develop [dɪ'veləp]; plėtoti(s), vystyti(s), formuoti(s)
to die [daɪ]; mirti
to direct ['dɪrekt]; nukreipti (at, towards – į)
to discover [dɪs'kʌvə]; atrasti, (su)rasti
to discuss [dɪ'skʌs]; (ap)svarstyti, aptarti, diskutuoti
to draw [drɔ:]; (nu)piešti, (nu)braižyti, traukti
to dream [dri:m]; sapnuoti, svajoti (of) 
to dress [dres]; rengti(s), ap(si)rengti
to drink [drɪŋk]; gerti
to drive [draɪv]; vairuoti, (nu)vežti
to dry [draɪ]; džiovinti, (iš)džiūti
to drop [drɔp]; (iš)kristi, (nu)mesti, lašėti
to employ [ɪm'plɔɪ]; samdyti, suteikti/duoti darbą, (pri)taikyti (priemonę)
to encourage [ɪn'kʌrɪdʒ]; (pa)drąsinti, (pa)skatinti
to enjoy [ɪn'dʒɔɪ]; gėrėtis, mėgautis
to enter ['entə]; įeiti, įžengti
to escape [ɪ'skeɪp]; išvengti, išsigelbėti, pabėgti
to exact [ɪg'zækt]; (atkakliai) reikalauti (paklusnumo ir pan.)
to examine [ɪg'zæmɪn]; apžiūrėti, (pa)tikrinti, egzaminuoti
to except [ɪk'sept]; išskirti, neskaityti
to exercise ['eksəsaɪz]; lavinti(s), mankštinti(s)
to exist [ɪg'zɪst]; egzistuoti, būti
to expect [ɪk'spekt]; tikėtis, laukti(s)
to experiment [ik'sperɪmənt]; bandyti, eksperimentuoti
to explain [ɪk'spleɪn]; (pa)aiškinti, išaiškinti
to express [ɪk'spres]; išreikšti, pareikšti, reikštis
to extend [ɪk'stend]; (pra)tęsti (laike, erdvėje), (iš)plėsti, nusidriekti
to fail [feɪl]; nepasisekti, su(si)kirsti (egzamine), apvilti
to fall [fɔ:l]; (už)kristi, (nu)griūti
to fear [fɪə]; bijoti, baimintis
to feed [fi:d]; maitinti, (pa)šerti
to feel [fi:l]; jausti(s), pa(si)justi, (ap)čiuopti
to fight [faɪt]; kovoti, kautis, muštis
to fill [fɪl]; (už)pildyti, pri(si)pildyti
to finish ['fɪnɪʃ]; (pa)baigti, užbaigti, finišuoti
to fire ['faɪə]; šauti, šaudyti, atleisti (iš darbo)
to fit [fɪt]; (ati)tikti, (pri)derėti
to fix [fɪks]; (su)taisyti, (su)remontuoti, (pri)tvirtinti
to fly [flaɪ]; skristi, skraidyti
to force [fɔ:s]; (pri)versti
to forget [fə'get]; už(si)miršti, pamiršti
to frame [freɪm]; įrėminti, (į)dėti į rėmus
to free [fri:]; iš(si)laisvinti, paleisti
to gain [geɪn]; įgyti, gauti, pelnyti
to game [geɪm]; lošti (azartinius lošimus)
to group [gru:p]; grupuoti(s), su(si)kirstyti į grupes
to hang [hæŋ]; (pa)kabinti, užkabinti
to happen ['hæpən]; atsitikti, nutikti, (į)vykti
to help [help]; padėti, pagelbėti
to hit [hɪt]; smogti, suduoti, trenkti
to hold [həuld]; laikyti(s), išlaikyti
to hope [həup]; tikėtis, viltis, laukti (for – ko)
to imagine [ɪ'mædʒɪn]; įsivaizduoti
to improve [ɪm'pru:v]; (pa)gerinti, (pa)tobulinti
to include [ɪn'klu:d]; įtraukti, įskaityti, turėti (savyje)
to increase [ɪn'kri:s]; (iš)augti, (pa)didėti, (pa)didinti
to inform [ɪn'fɔ:m]; pranešti, informuoti
to interest ['ɪntrɪst]; (su)dominti, (su)interesuoti, domėtis (in - kuo)
to join [dʒoɪn]; (susi)jungti, pri(si)jungti, (į)stoti
to judge [dʒʌdʒ]; teisti,(į)vertinti (on, by – pagal)
to kill [kɪl]; (nu)žudyti
to lack [læk]; stokoti, stigti, trūkti
to lay [leɪ]; (pa)dėti, (pa)guldyti, tiesti (stalą, kelią)
to last [la:st]; tęstis, trukti
to laugh [la:f]; juoktis
to lie1 [laɪ]; meluoti
to lie2 [laɪ]; gulėti
to light [laɪt]; už(si)degti, (ap)šviesti
to limit ['lɪmɪt]; (ap)riboti, (su)varžyti, limituoti
to listen ['lɪsn]; klausyti(s), paklausyti
to load [ləud]; (pri)krauti, užkrauti, apkrauti
to lock [lok]; už(si)rakinti, rakinti
to lose [lu:z]; pamesti, prarasti, netekti
to love [lʌv]; mylėti
to manage ['mænɪdʒ]; susidoroti (su užduotimi), sugebėti, pajėgti
to manufacture [,mænju'fækt∫ə]; gaminti
to mark [ma:k]; (su)žymėti, (pa)ženklinti
to marry ['mærɪ]; vesti, tekėti, susituokti
to match [mætʃ]; (pri)derinti, derėti, atitikti
to meet [mi:t]; su(si)tikti, susirinkti,
to mention ['men∫n]; (pa)minėti, užsiminti
to negotiate [nɪ'gəuʃɪeɪt]; derėtis, su(si)tarti
to note [nəut]; už(si)rašyti, pa(si)žymėti
to notice ['nəutɪs]; pastebėti, (at)kreipti dėmesį
to object [əb'dʒekt]; prieštarauti, nesutikti
to observe [əb'zə:v]; (pa)stebėti, sekti
to offer ['ɔfə]; siūlyti(s), pa(si)siūlyti
to order ['ɔ:də]; įsakyti, liepti, už(si)sakyti
to organize ['ɔ:gənaɪz]; (su)organizuoti, (su)rengti
to paint [peɪnt]; dažyti, spalvinti
to pay [peɪ]; (už)mokėti, išmokėti
to park [pa:k]; (pa)statyti, parkuoti (automobilį)
to perform [pə'fɔ:m]; atlikti, įvykdyti, pasirodyti (scenoje)
to permit  [pə'mɪt]; leisti, duoti leidimą
to pick [pɪk]; rinkti(s), pa(si)rinkti, išsirinkti
to place [pleɪs]; (pa)dėti, (pa)talpinti
to plan [plæn]; (su)planuoti, numatyti (ahead), ketinti
to practice ['præktɪs]; praktikuoti(s), treniruotis
to prepare [prɪ'pɜə]; ruošti(s), rengti(s), pa(si)ruošti
to present  [prɪ'zent]; įteikti, (pa)dovanoti, pristatyti
to prevent [prɪ'vent]; (su)trukdyti, (su)kliudyti, užkirsti kelią
to produce  [prə'dju:s]; (pa)gaminti, kurti
to progress  [prə'gres]; progresuoti, vystytis
